Report Number,title,abstract,link,author,outlier
,中文版,This ,/sites/default/files/content/docs/fdi perspectives/No 340 - Chang and Kang - FINAL - CHINESE version.pdf," considers the lessons that can be drawn from existing ISDS provisions for conciliation and mediation, and suggests improvements that can be made to future ISDS provisions. It also recommends that institutions produce guidance or templates to facilitate mediation or conciliation during ongoing arbitrations.  ",
No. 339: ,Defining investment in a future WTO agreement on investment facilitation for development,No. 339: ,/sites/default/files/content/docs/fdi perspectives/No 339 - Pitschas - FINAL.pdf,","" by Christian Pitschas",
,中文版,"The draft text for an Investment Facilitation for Development Agreement does not define the term ""investment."" If negotiators wish to define said term, they should take guidance from the WTO rule book. It characterizes trade-related investment as a business or professional establishment by a WTO member’s person in another WTO member’s territory for purposes of providing goods or services.  ",/sites/default/files/content/docs/fdi perspectives/No 339 - Pitschas - FINAL - CHINESE version.pdf,,
No. 338: ,Got “critical minerals”? Hooray! But be careful!,No. 338: ,/sites/default/files/content/docs/fdi perspectives/No 338 - Wells - FINAL.pdf,","" by Louis T. Wells",
,中文版,"When a country has “critical minerals,” certain issues require special attention in the country’s mining legislation or while negotiating contracts with potential mining investors. As well, to obtain maximum benefit the government should prepare for negotiations with investors’ home governments, which have strategic interests in these minerals.  ",/sites/default/files/content/docs/fdi perspectives/No 338 - Wells - FINAL - CHINESE verson.pdf,,
No. 337: ,The new Canadian Model investment treaty: A quiet evolution,No. 337: ,/sites/default/files/content/docs/fdi perspectives/No 337 - Côté - FINAL.pdf,","" by Charles-Emmanuel Côté",
,中文版,"Canada published its new model investment agreement in 2021, a first substantial revision since the publication of the 2004 model. This new model marks a quiet evolution, integrating useful innovations found in latest treaty practice, but proposing few original solutions. The main innovations that it introduces are a most welcomed expedited arbitration procedure, and a laudable but disappointing section on investment facilitation.  ",/sites/default/files/content/docs/fdi perspectives/No 337 - Côté - FINAL - CHINESE version.pdf,,
No. 336: ,How host country governments can ensure competitive neutrality in cross-border M&As,No. 336: ,/sites/default/files/content/docs/fdi perspectives/No 336 - Baumann - FINAL.pdf,","" by Phil Baumann",
,中文版,"In cross-border M&A transactions, certain investors enjoy government-created, undue competitive advantages. To ensure competitive neutrality, host country governments may implement investment-control measures. However, how can investment controls be imposed without themselves leading to competitive distortions? This ",/sites/default/files/content/docs/fdi perspectives/No 336 - Baumann - FINAL - CHINESE version.pdf, highlights the key elements that governments need to consider in this regard.  ,
No. 335: ,The WTO Investment Facilitation for Development Agreement needs a strong provision on responsible business conduct,No. 335: ,/sites/default/files/content/docs/fdi perspectives/No 335 - Sauvant and Ortino - FINAL.pdf,","" by Karl P. Sauvant and Federico Ortino",
,中文版,The authors argue that a WTO Investment Facilitation ,/sites/default/files/content/docs/fdi perspectives/No 335 - Sauvant and Ortino - FINAL - CHINESE version.pdf," Agreement needs a strong responsible business conduct provision, as such a provision helps to increase the contribution that FDI can make to sustainable development. They suggest some elements of such a provision.  ",
No. 334: ,"International investment law, intellectual property and development",No. 334: ,/sites/default/files/content/docs/fdi perspectives/No 334 - Oke and Olabode - FINAL.pdf,","" by Emmanuel Kolawole Oke and Olufunmilola Olabode",
,中文版,This ,/sites/default/files/content/docs/fdi perspectives/No 334 - Oke and Olabode - FINAL - CHINESE version.pdf,explores the interrelation between the international investment law (IIL) regime and the host countries’ intellectual property policy space. It then suggests how host countries can shape their international investment agreements to ensure their consistency with the domestic IP legal framework and that both regimes contribute to economic development.  ,
No. 333: ,BEPS reform: The end of fiscal incentives to attract FDI?,No. 333: ,/sites/default/files/content/docs/fdi perspectives/No 333 - Jobbágy - FINAL.pdf,","" by Luca Jobbágy",
,中文版,Is the OECD’s new global minimum tax agreement the end of fiscal incentives to attract foreign direct investment? This ,/sites/default/files/content/docs/fdi perspectives/No 333 - Jobbágy - FINAL - CHINESE version.pdf,"offers policy recommendations as governments seek to adapt to the unprecedented international framework, which will likely shape international taxation for years to come.  ",
No. 332: ,Shaping responsible business conduct through a Multilateral Treaty on Due Diligence,No. 332: ,/sites/default/files/content/docs/fdi perspectives/No 332 - Yannaca-Small - FINAL.pdf,","" by Katia Yannaca-Small",
,中文版,"Human rights and environmental due diligence to ensure responsible business conduct is leaving the sphere of soft law to integrate the legal fabric of several countries and the EU. To ensure a level playing field, it is time to negotiate a Multilateral Treaty on Due Diligence. OECD would be the most suitable forum.  ",/sites/default/files/content/docs/fdi perspectives/No 332 - Yannaca-Small - FINAL - CHINESE version.pdf,,
No. 331: ,Denying the benefits of the Energy Charter Treaty: Shifting the policy or just the burden of proof?,No. 331: ,/sites/default/files/content/docs/fdi perspectives/No 331 - Baltag - FINAL.pdf,","" by Crina Baltag",
,中文版,This ,/sites/default/files/content/docs/fdi perspectives/No 331 - Baltag - FINAL - CHINESE version.pdf, discusses the proposal under the Energy Charter Treaty reform to move the requirement of investors having “substantial business activity” from Article 17 to the definition of “investor” and proposes possible solutions to clarify how this new provision should be applied in practice.  ,
No. 330: ,WTO processes would benefit from the input of civil society,No. 330: ,/sites/default/files/content/docs/fdi perspectives/No 330 - Sauvant and Chacon Naranjo - FINAL.pdf,",""",by Karl P. Sauvant and Rebecca Chacon Naranjo
,中文版,"As WTO agreements involve complex issues, it is useful to obtain information/advice from civil society. The WTO Investment Facilitation for Development Agreement offers an opportunity to institutionalize civil-society input for its implementation. This ",/sites/default/files/content/docs/fdi perspectives/No 330 - Sauvant and Chacon Naranjo - FINAL - CHINESE version.pdf, uses the OECD’s experience as an example of how obtaining such information/advice could be institutionalized.  ,
No. 329: ,They can run but they can’t hide: MNEs and responsible business conduct,No. 329: ,/sites/default/files/content/docs/fdi perspectives/No 329 - Pursey - FINAL.pdf,","" by Stephen Pursey",
,中文版,What can stop “irresponsible” companies trying to run and hide from the application of responsible business conduct (RBC) codes? Could mandatory due diligence reporting be the next stage in tackling abuse of workers’ rights? The evolution of the ILO MNE Declaration illustrates prospects for further innovations in RBC global governance.  ,/sites/default/files/content/docs/fdi perspectives/No 329 - Pursey - FINAL - CHINESE version.pdf,,
No. 328: ,The future of global value chains: Key issues,No. 328: ,/sites/default/files/content/docs/fdi perspectives/No 328 - Strange - FINAL.pdf,"."" by Roger Strange",
,中文版,"The COVID-19 pandemic has heightened concerns about the viability of GVCs. Globalization was already under threat, but the pandemic has exacerbated the effects of underlying trends in the world economy. This ",/sites/default/files/content/docs/fdi perspectives/No 328 - Strange - FINAL - CHINESE version.pdf, considers whether MNEs should forsake cost-efficiency and reconfigure their GVCs to put more emphasis on robustness and resilience.  ,
No. 327: ,A managed dispute-resolution insurance scheme for countries in investor-state arbitration: Ensuring early legal representation of respondents,No. 327: ,/sites/default/files/content/docs/fdi perspectives/No 327 - Onwuamaegbu - FINAL.pdf,","" by Ucheora Onwuamaegbu",
,中文版,"The ISDS system is impacted negatively when all sides are not properly represented, especially, in the early stages of a proceeding when important deadlines and milestones occur. To address this, a new form of private insurance is proposed, which would fund prompt and effective representation for respondents in qualifying proceedings.  ",/sites/default/files/content/docs/fdi perspectives/No 327 - Onwuamaegbu - FINAL - CHINESE version.pdf,,
No. 326: ,The launch of a new generation of the ICSID Rules,No. 326: ,/sites/default/files/content/docs/fdi perspectives/No 326 - Kinnear - FINAL.pdf,","" by Meg Kinnear",
,中文版,"Five years after launching the most comprehensive review of its procedural rules for resolving international investment disputes, ICSID submitted the amended rules to its Member States for a vote of approval on January 20, 2022. If approved, the amended rules would significantly streamline and modernize ISDS procedure.  ",/sites/default/files/content/docs/fdi perspectives/No 326 - Kinnear - FINAL - CHINESE version.pdf,  ,
No. 325: ,How FDI in the mining sector can assist communities to achieve sustainable development,No. 325: ,/sites/default/files/content/docs/fdi perspectives/No 325 - Otto - FINAL.pdf,","" by James Otto",
,中文版,Governments increasingly mandate that mining companies implement sustainable development initiatives in communities affected by their operations. The use of corporate social responsibility programs and community development agreements can help communities to overcome the historical boom-bust cycle associated with large mines and broaden their ability to prosper after the mine closes.  ,/sites/default/files/content/docs/fdi perspectives/No 325 - Otto - FINAL - CHINESE version.pdf,,
No. 324: ,An Advisory Centre on International Investment Law: Is perfect the enemy of good?,No. 324: ,/sites/default/files/content/docs/fdi perspectives/No 324 - Charlie Garnjana-Goonchorn - FINAL.pdf,","" by Charlie Garnjana-Goonchorn",
,中文版,This ,/sites/default/files/content/docs/fdi perspectives/No 324 - Charlie Garnjana-Goonchorn - FINAL - CHINESE version.pdf," explores the benefits that an Advisory Centre on International Investment Law (ACIIL) would bring to developing countries and the upcoming challenges. The author then argues that the kick-start of a ""less than perfect"" ACIIL now would sow the seeds for a more full-scale ACIIL in the future.  ",
No. 323: ,"FDI and sustainable development in the EU-China investment treaty: Neither high nor low, just realistic expectations",No. 323: ,/sites/default/files/content/docs/fdi perspectives/No 323 - Chaisse - FINAL.pdf,","" by Julien Chaisse",
,中文版,"The EU-China Comprehensive Agreement on Investment is China’s first treaty with a section dedicated to sustainable development and labor regulations. It introduces major innovations such as ensuring corporate due diligence to end forced labor, among others. This significant development aims to promote sustainable economic growth and investment.  ",/sites/default/files/content/docs/fdi perspectives/No 323 - Chaisse - FINAL - CHINESE version.pdf,,
No. 322: ,Implementing an Investment Facilitation Framework for Development: Lessons from the Trade Facilitation Agreement,No. 322: ,/sites/default/files/content/docs/fdi perspectives/No 322 - Saeed - FINAL.pdf,","" by Mohammad Saeed",
,中文版,"There are many commonalities between the Investment Facilitation Framework for Development (IFF4D) and the Trade Facilitation Agreement (TFA), including transparency, simplification, user-friendliness, and stakeholders’ collaboration. The author shares key takeaways from the successful negotiations and implementation of the TFA that can guide the world community in the context of the IFF4D.  ",/sites/default/files/content/docs/fdi perspectives/No 322 - Saeed - FINAL - CHINESE version.docx.pdf,,
No. 321: ,Promoting responsible business through the revised ILO Tripartite Declaration,No. 321: ,/sites/default/files/content/321_Perspective_Muchlinski.pdf,","" by  Peter Muchlinski ",
,中文版,This Perspective proposes reforms to the ILO Tripartite Declaration of Principles Concerning Multinational Enterprises and Social Policy to enhance its effectiveness in promoting responsible business conduct. These focus on greater clarity of corporate obligations in line with current developments in business and human rights and stronger workplace accountability.  ,/sites/default/files/content/docs/fdi perspectives/No 321 - Muchlinski - FINAL - CHINESE version.docx.pdf,,
No. 320: ,Protecting FDI contributing to host countries’ development:,No. 320: ,/sites/default/files/content/docs/fdi perspectives/No 320 - Gómez Altamirano - FINAL.pdf,"
The rise of the “forgotten” Salini criterion as part of the definition of investment",
,中文版,Countries are increasingly focusing on attracting quality FDI. This ,/sites/default/files/content/docs/fdi perspectives/No 320 - Gómez Altamirano - FINAL - CHINESE version.pdf," explores the potential of requiring “contribution to the development of the host State” for an investment to be protected under an IIA and the alternatives that policymakers have to support sustainable development, as reflected in the Sustainable Development Goals.  ",
No. 319: ,Launching a program for investment partnerships,No. 319: ,/sites/default/files/content/docs/fdi perspectives/No 319 - Stephenson - FINAL.pdf,","" by Matthew Stephenson",
,中文版,"There are growing win-win opportunities for partnership between investment-related institutions in different economies, both for knowledge sharing and to facilitate two-way investment. This ",/sites/default/files/content/docs/fdi perspectives/No 319 - Stephenson - FINAL - CHINESE version.pdf,proposes concrete ways to launch a program to grow such partnerships while providing suggestions for specific joint activities.  ,
No. 318: ,The OECD MNE Guidelines: Recent complaints on emerging issues show the need to revise standards on responsible business conduct,No. 318: ,"/sites/default/files/content/docs/fdi perspectives/No 318 - Ingrams, Mason and Wilde-Ramsing - FINAL.pdf",","" by Marian Ingrams, Thomas Mason and Joseph Wilde-Ramsing",
,中文版,"The OECD Guidelines for MNEs should set the most up-to-date standards on responsible business conduct. By analyzing the issues emerging in complaints recently filed to the Guidelines’ grievance mechanisms, this ","/sites/default/files/content/docs/fdi perspectives/No 318 - Ingrams, Mason and Wilde-Ramsing - FINAL - CHINESE version.pdf",identifies substantive gaps in the standards and argues that the OECD should update the Guidelines in 2022.  , 
No. 317: ,National Contact Points for responsible business conduct and access to remedy: Achievements and challenges after 20 years,No. 317: ,/sites/default/files/content/docs/fdi perspectives/No 317 - Hachez and Jorgensen - FINAL.pdf,","" by Nicolas Hachez and Allan Jorgensen",
,中文版 ,"National Contact Points for Responsible Business Conduct, the remedy mechanism built into the OECD Guidelines for Multinational Enterprises, have just celebrated 20 years. This ",/sites/default/files/content/docs/fdi perspectives/No 317 - Hachez and Jorgensen - FINAL - CHINESE version.pdf, reviews their main assets and achievements since their creation and offers suggestions on how to enhance their contribution to remedying corporate impacts worldwide.  ,
No. 316: ,Green FDI: Encouraging carbon-neutral investment,No. 316: ,"/sites/default/files/content/docs/fdi perspectives/No 316 - Sauvant, Stephenson and Kagan - FINAL.pdf",","" by Karl P. Sauvant, Matthew Stephenson and Yardenne Kagan",
,中文版,"The world needs more “Green FDI” that contributes to environmental objectives, including the reduction of greenhouse gas emissions. Goals have been set by countries and MNEs to reduce emissions. To support meeting these commitments—and encourage additional MNEs to reduce emissions—this ","/sites/default/files/content/docs/fdi perspectives/No 316 - Sauvant, Stephenson and Kagan - FINAL - CHINESE version.pdf", suggests proactive policies that should be pursued.  ,   
No. 315: ,"In defense of quantum,""",No. 315: ,/sites/default/files/content/docs/fdi perspectives/No 315 - Miles - FINAL.pdf, by Craig S. Miles,
,中文版,"Investor-state dispute settlement (ISDS) has come under intense criticism from some quarters, in part due to perceived “mega” quantum claims that strain both credulity and states’ ability to pay. The author describes these contentions as largely overblown, from the perspective of a practitioner representing ISDS claimants.  ",/sites/default/files/content/docs/fdi perspectives/No 315 - Miles - FINAL - CHINESE version.pdf,,
No. 314: ,It’s quantum!,No. 314: ,/sites/default/files/content/docs/fdi perspectives/No 314 - Kahale - FINAL.pdf,","" by George Kahale, III",
,中文版,"Quantum garners the least attention in ISDS, but it is where the money is. Mega-claims have become commonplace, increasingly leading to mega-awards that would have been unthinkable only a decade ago. The author explores these developments from the perspective of a practitioner defending against mega-claims.  ",/sites/default/files/content/docs/fdi perspectives/No 314 - Kahale - FINAL - CHINESE version.pdf,,
No. 313: ,FDI and CSR to promote social entrepreneurship and sustainable FDI: Lessons from India,No. 313: ,/sites/default/files/content/docs/fdi perspectives/No 313 - Mani - FINAL.pdf,","" by Shradha Mani",
,中文版,"Using India’s regulatory ecosystem as a case study, this ",/sites/default/files/content/docs/fdi perspectives/No 313 - Mani - FINAL - CHINESE version.pdf,examines ways to promote sustainable investment into social enterprises and technology start-ups delivering high social impact. These include alignment of the domestic foreign direct investment policy with the Sustainable Development Goals and tapping corporate social responsibility funds.  , 
No. 312: ,Materializing corporate social responsibility in investor-state dispute settlement,No. 312: ,/sites/default/files/content/docs/fdi perspectives/No 312 - Ishikawa - FINAL.pdf,","" by Tomoko Ishikawa",
,中文版,"Despite its oft-claimed voluntary nature, corporate social responsibility (CSR) has increasingly interacted and been integrated with legal obligations, and circumstances have arisen wherein a corporation’s breach of CSR has caused legal responsibility. This ",/sites/default/files/content/docs/fdi perspectives/No 312 - Ishikawa - FINAL - CHINESE version.pdf, discusses host countries’ options for pursuing an investor’s CSR-based responsibility through counterclaims in investor-state dispute settlement.  , 
No. 311: ,The OFDI policy path and the product space,No. 311: ,/sites/default/files/content/docs/fdi perspectives/No 311 - Stephenson - FINAL.pdf,","" by Matthew Stephenson",
,中文版,"Outward FDI policy can be understood as progressing down a path that informs the growing selection of home-country measures (HCMs), which can be used to both leverage existing and develop new capacity. The Product Space can help select HCMs to target goods and services that are slightly more complex, thus helping to drive home-economy upgrading.  ",/sites/default/files/content/docs/fdi perspectives/No 311 - Stephenson - FINAL - CHINESE version.pdf,  ,
No. 310: ,CFIUS and China in the post-COVID environment,No. 310: ,/sites/default/files/content/docs/fdi perspectives/No 310 - Mancuso - FINAL.pdf,","" by Mario Mancuso",
,中文版,In this ,/sites/default/files/content/docs/fdi perspectives/No 310 - Mancuso - FINAL - CHINESE version.pdf,", former CFIUS decision-maker Mario Mancuso sets forth a framework for understanding the policy and practice of CFIUS in the post-COVID world. Specifically, this "," assesses how COVID has accelerated and intensified a profound suspicion of China in the US, with far-reaching policy, political, economic, and commercial impacts.  "
No. 309: ,CSR in an Investment Facilitation Framework for Development: From a “race to the bottom” to a “march to the top”,No. 309: ,/sites/default/files/content/docs/fdi perspectives/No 309 - Codeço and Freitas da Silva - FINAL.pdf,","" by Rafael Ramos Codeço and Ana Rachel Freitas da Silva",
,中文版,The apparent trade-off between improving responsible business conducts and preserving international competitiveness has led some developing countries to join the so-called ‘’race to the bottom’’. The Investment Facilitation Framework for Development can help developing countries overcome this harmful competition and address the issue in a progressive and cooperative way.  ,/sites/default/files/content/docs/fdi perspectives/No 309 - Codeço and Freitas da Silva - FINAL - CHINESE version.pdf,,
No. 308: ,China’s foreign investment complaint mechanism: A new beginning of foreign investment governance reform?,No. 308: ,/sites/default/files/content/docs/fdi perspectives/No 308 - Chi and Li - FINAL.pdf,","" by Manjiao Chi and Zongyao Li",
,中文版,This ,/sites/default/files/content/docs/fdi perspectives/No 308 - Chi and Li - FINAL - CHINESE version.pdf,"discusses the development and features of China's foreign investment complaint mechanism (FICMs) and highlights China's first national FICM's potential roles as an alternative of investment dispute prevention and settlement, a measure of investment facilitation, and a factor in advancing China's foreign investment governance reform.  ",
No. 307: ,Increasing transparency in investment facilitation: focused support is needed,No. 307: ,/sites/default/files/content/docs/fdi perspectives/No 307 - Sauvant and Stephens - FINAL.pdf,","" by Karl P. Sauvant and Nancy N. Stephen",
,中文版,The transparency of investment-facilitation measures is uneven across country groups. Developing countries--and especially the least developed among them--will require substantial technical assistance to increase transparency.  ,/sites/default/files/content/docs/fdi perspectives/No 307 - Sauvant and Stephens - FINAL - CHINESE version.pdf,,
No. 306: ,Reducing regulatory risk to attract and retain FDI,No. 306: ,"/sites/default/files/content/docs/fdi perspectives/No 306 - Kher, Tran, and Hebous - FINAL.pdf",","" by Priyanka Kher, Trang Thu Tran, and Sarah Hebous",
,中文版,"Regulatory uncertainty has been a key concern for investors over the past few years, further exacerbated by the ongoing Covid-19 pandemic. This ","/sites/default/files/content/docs/fdi perspectives/No 306 - Kher, Tran, and Hebous - FINAL - CHINESE version.pdf"," discusses a newly developed measure of regulatory risk and policy options for countries to minimize such risk along 3 dimensions: transparency, investment protection, and effective recourse.  ",  
No. 305: ,Mobilizing FDI for sustainable infrastructure investment,No. 305: ,/sites/default/files/content/docs/fdi perspectives/No 305 - Akram - FINAL.pdf,","" by Munir Akram",
,中文版,"Private investments in infrastructure projects for developing countries are critical to achieving the Sustainable Development Goals and net-zero carbon emissions. Due to structural limitations, however, their contribution remains limited. This ",/sites/default/files/content/docs/fdi perspectives/No 305 - Akram - FINAL - CHINESE version.pdf," suggests that the United Nations can help to overcome those limitations, creating a global model for sustainable infrastructure investment.  ",
No. 304: ,The Hague Rules on Business and Human Rights Arbitration,No. 304: ,/sites/default/files/content/docs/fdi perspectives/No 304 - van Aaken and Desierto - FINAL.pdf,",” by Anne van Aaken and Diane Desierto",
,中文版,"Inspired by the UN General Principles of Business and Human Rights and based on the UNCITRAL Arbitration Rules, this ",/sites/default/files/content/docs/fdi perspectives/No 304 - van Aaken and Desierto - FINAL - CHINESE version.docx.pdf, discusses the Hague Rules on Business and Human Rights Arbitration and how they fill existing gaps in (access to) remedies for victims and help businesses fulfil human rights UNGP obligations.  ,
No. 303: ,Dangers lurking in the OECD tax proposals,No. 303: ,/sites/default/files/content/docs/fdi perspectives/No 303 - Hufbauer - FINAL.pdf,",”",by Gary Clyde Hufbauer
,中文版,"As the OECD strives to rearrange international corporate taxation, a word of caution is in order. The first “Pillar”, if adopted, will spawn a confusing array of new taxes; the second “Pillar” will spur fresh loopholes as national legislatures assert their sovereign prerogatives.  ",/sites/default/files/content/docs/fdi perspectives/No 303 - Hufbauer - FINAL - CHINESE version.pdf,,
No. 302: ,International tax reform and FDI,No. 302: ,/sites/default/files/content/docs/fdi perspectives/No 302 - O’Reilly - FINAL.pdf,",” by Pierce O’Reilly",
,中文版,The taxation of multinational enterprises is a key policy issue that has major impacts on global FDI flows. This ,/sites/default/files/content/docs/fdi perspectives/No 302 - O’Reilly - FINAL - CHINESE version.pdf, reviews the recently published Economic Impact Assessment of the ongoing OECD/G20 Inclusive Framework on BEPS process to address the tax challenges of the digitalization of the economy.  ,
No. 301: ,Investment facilitation and India: A closer look,No. 301: ,/sites/default/files/content/docs/fdi perspectives/No 301 - Misra - FINAL.pdf,",” by Manu Misra",
,中文版,This ,/sites/default/files/content/docs/fdi perspectives/No 301 - Misra - FINAL - CHINESE version.pdf,"considers India’s policy towards investment facilitation, both in the domestic context and internationally. It seeks to shed light on potential causal factors underlying India’s stance towards related negotiations at the WTO. While acknowledging that some apprehensiveness might be justified, it questions whether total non-participation remains a proportionate response.  ", 
No. 300: ,Engaging diaspora direct investors: The four elements of successful policy regimes,No. 300: ,/sites/default/files/content/docs/publications/No 300 - Naujoks - FINAL.pdf,",” by Daniel Naujoks",
,中文版,"The right FDI policy regimes can harness diaspora investments as sources of capital, technology and know-how. This Perspective highlights four key elements for creating regulatory and institutional frameworks that engage diaspora investors at scale through a mix of measures, based on evidence and accompanied by appropriate institutions.  ",/sites/default/files/content/docs/fdi perspectives/No 300 - Naujoks - FINAL - CHINESE version.pdf,,
No. 299: ,The EU-China Comprehensive Agreement on Investment: Stuck half-way,No. 299: ,/sites/default/files/content/docs/publications/No 299 - Berger and Chi - FINAL.pdf,",” by Axel Berger and Manjiao Chi",
,中文版,"The China-EU comprehensive investment agreement (CAI) addresses important issues of market access, regulatory cooperation and sustainable development, but does not include sections on investment protection and ISDS. The ratification of the CAI could be difficult in the EU. Additional efforts are needed in further negotiating the CAI in the future.  ",/sites/default/files/content/docs/fdi perspectives/No 299 - Berger and Chi - FINAL - CHINESE version.pdf,,
No. 298: ,Obsolescence of the obsolescing bargain: Why governments must get investor-state contracts right,No. 298: ,/sites/default/files/content/docs/fdi perspectives/No 298 - Sauvant and Wells - FINAL.pdf,",” by Karl P. Sauvant and Louis T. Wells",
,中文版,"Gone are the days when governments could easily renegotiate natural resource contracts if investors reaped bonanzas from rising resource prices, surprisingly rich discoveries, or terms that were too favorable. Today, international investment agreements protect investors from renegotiation. Now, governments must get initial contracts right, including providing for possible future events.  ",/sites/default/files/content/docs/publications/No 298 - Sauvant and Wells - FINAL - CHINESE version.pdf,,
No. 297: ,Divestments by MNEs: What do we know about why they happen?,No. 297: ,/sites/default/files/content/docs/fdi perspectives/No 297 - Borga and Sztajerowska - FINAL.pdf,",” by Maria Borga and Monika Sztajerowska",
,中文版,Divestments are a frequent yet understudied corporate phenomenon. The authors outline key findings on the drivers of divestment by multinational enterprises using a large firm-level dataset and call for further research and a more explicit focus on divestments in data collection and policy-making.  ,/sites/default/files/content/docs/publications/No 297 - Borga and Sztajerowska - FINAL - CHINESE version.pdf,,
No. 296: ,Room to move: Building flexibility into investment treaties to meet climate-change commitments,No. 296: ,/sites/default/files/content/docs/fdi perspectives/No 296 - Thrasher - FINAL.pdf,",” by Rachel Thrasher",
,中文版,The international investment regime is out of phase with domestic policy efforts to combat climate change. Even the newest treaties prioritize investment facilitation ahead of climate mitigation. This ,/sites/default/files/content/docs/publications/No 296 - Thrasher - FINAL - CHINESE version.pdf, proposes new treaty commitments that would facilitate a transition to renewable energy and help countries align their economic and climate goals.  ,
No. 295: ,Facilitating investment through IIAs: The case of the Regional Comprehensive Economic Partnership Agreement,No. 295: ,/sites/default/files/content/docs/fdi perspectives/No 295 - Schacherer - FINAL.pdf,",” by Stefanie Schacherer",
