,title,Year,Report Number,Author 1,Author 2,Author 3,Author 4,File Name
39,"Heterogeneity in Japanese TFP, Part 2: Regulation, Capital Allocation, and TFP in Japan",2015-16,WP 347,"Naomi,Fink",,,,"WP 347.Heterogeneity in Japanese TFP, Part 2: Regulation, Capital Allocation, and TFP in Japan.pdf"
40,Good Jobs and Bad Jobs in Japan: 1982-2007,2015-16,WP 348,"Ryo,Kambayashi","Takao,Kato",,,WP 348.Good Jobs and Bad Jobs in Japan: 1982-2007.pdf
41,Growth Convergence and the Middle Income Trap,2015-16,WP 349,"Takatoshi,Ito",,,,WP 349.Growth Convergence and the Middle Income Trap.pdf
42,The Regional Spillover Effects of the Tohoku Earthquake,2015-16,WP 350,"Robert,Dekle","Eunpyo,Hong","Wei,Xie",,WP 350.The Regional Spillover Effects of the Tohoku Earthquake.pdf
43,Four Types of Attitudes Towards Foreign Workers: Evidence from a Survey in Japan,2015-16,WP 351,"Frances,Rosenbluth","Rieko,Kage","Seiki,Tanaka",,WP 351.Four Types of Attitudes Towards Foreign Workers: Evidence from a Survey in Japan.pdf
44,Puzzles in the Forex Tokyo “Fixing”: Order Imbalances and Biased Pricing by Banks,2015-16,WP 352,"Takatoshi,Ito","Masahiro,Yamada",,,WP 352.Puzzles in the Forex Tokyo “Fixing”: Order Imbalances and Biased Pricing by Banks.pdf
45,Hiroshima Kosoku Kotsu Corporation,2015-16,OP 73,"Hugh,Patrick",,,,OP 73.Hiroshima Kosoku Kotsu Corporation.pdf
46,Japan's Abenomics Bumps Along,2015-16,OP 74,"Hugh,Patrick",,,,OP 74.Japan's Abenomics Bumps Along.pdf
47,The Current Situation in the Japanese Economy and its Financial Markets – What is the Effect of the Negative Interest Rate?,2015-16,OP 75,"Yasushi,Kinoshita",,,,OP 75.The Current Situation in the Japanese Economy and its Financial Markets – What is the Effect of the Negative Interest Rate?.pdf
48,Interview with Hugh Patrick,2015-16,OP 76,"Anna,Balderston",,,,OP 76.Interview with Hugh Patrick.pdf
49,Quantifying Sentiment for the Japanese Economy as Predictors of Stock Prices,2014-15,WP 338,"Hiroshi,Ishijima",,,,WP 338.Quantifying Sentiment for the Japanese Economy as Predictors of Stock Prices.pdf
50,Japanese Monetary Policy and International Spillovers,2014-15,WP 339,"Robert,Dekle","Koichi,Hamada",,,WP 339.Japanese Monetary Policy and International Spillovers.pdf
51,Japan’s Foreign Economic Policy Strategies and Economic Performance,2014-15,WP 340,"Shiro,Armstrong","Peter,Drysdale",,,WP 340.Japan’s Foreign Economic Policy Strategies and Economic Performance.pdf
52,Absence of Safe Assets and Fiscal Crisis,2014-15,WP 341,"Masaya,Sakuragawa","Yukie,Sakuragawa",,,WP 341.Absence of Safe Assets and Fiscal Crisis.pdf
53,Selective Disclosure: The Case of Nikkei Preview Articles,2014-15,WP 342,"William,Goetzmann","Yasushi,Hamao","Hidenori,Takahashi",,WP 342.Selective Disclosure: The Case of Nikkei Preview Articles.pdf
54,Exchange Rate Exposure and Risk Management: The Case of Japanese Exporting Firms,2014-15,WP 343,"Takatoshi,Ito","Satoshi,Koibuchi","Kiyotaka,Sato","Junko,Shimizu",WP 343.Exchange Rate Exposure and Risk Management: The Case of Japanese Exporting Firms.pdf
55,"Japan's Abenomics: So Far So Good, But Will It Prevail? ",2014-15,OP 67,"Hugh,Patrick",,,,"OP 67.Japan's Abenomics: So Far So Good, But Will It Prevail? .pdf"
56,"Nagasaki Jidousya Co., Ltd.",2014-15,OP 68,"Hugh,Patrick",,,,"OP 68.Nagasaki Jidousya Co., Ltd..pdf"
57,Oshima Shipbuilding Company,2014-15,OP 69,"Hugh,Patrick",,,,OP 69.Oshima Shipbuilding Company.pdf
58,Kamotsuru Sake Brewing Company,2014-15,OP 70,"Hugh,Patrick",,,,OP 70.Kamotsuru Sake Brewing Company.pdf
59,Rethinking the Growth Strategy: Competition is the Way Toward Strengthening Agriculture,2014-15,OP 71,"Takatoshi,Ito","Masayoshi,Homna",,,OP 71.Rethinking the Growth Strategy: Competition is the Way Toward Strengthening Agriculture.pdf
60,The Future of the Asian Infrastructure Investment Bank:  Concerns for Transparency and Governance,2014-15,OP 72,"Takatoshi,Ito",,,,OP 72.The Future of the Asian Infrastructure Investment Bank:  Concerns for Transparency and Governance.pdf
61,Real Exchange Rates in a Model of Structural Change: Applications to the Real Yen-Dollar and Chinese RMB-Dollar Exchange Rates,2013-14,WP 321,"Robert,Dekle",,,,WP 321.Real Exchange Rates in a Model of Structural Change: Applications to the Real Yen-Dollar and Chinese RMB-Dollar Exchange Rates.pdf
62,How Making it Easier to Succeed Reduces Success: IPO Reform and New Firm Performance,2013-14,WP 322,"Robert,Eberhart","Kathleen,Eisenhardt","Charles,Eesley",,WP 322.How Making it Easier to Succeed Reduces Success: IPO Reform and New Firm Performance.pdf
63,nan,2013-14,WP 323: Saving–Investment Balance and Fiscal Sustainability of Japan: A View from the JGB Market by Tokuo Iwaisako,,,,,WP 323: Saving–Investment Balance and Fiscal Sustainability of Japan: A View from the JGB Market by Tokuo Iwaisako.nan.pdf
64,Academic Entrepreneurship: A Comparison of U.S. and Japanese Promotion of Information Technology & Computer Science,2013-14,WP 324,"Robert,Cole",,,,WP 324.Academic Entrepreneurship: A Comparison of U.S. and Japanese Promotion of Information Technology & Computer Science.pdf
65,The Market for Corporate Subsidiaries in Japan: An Empirical Study of Trades Among Listed Firms,2013-14,WP 325,"Ulrike,Schaede","Tatsuo,Ushijima",,,WP 325.The Market for Corporate Subsidiaries in Japan: An Empirical Study of Trades Among Listed Firms.pdf
66,"Good Jobs, Bad Jobs, and the Great Recession: Lessons from Japan’s Lost Decade",2013-14,WP 326,"Ryo,Kambayashi","Takao,Kato",,,"WP 326.Good Jobs, Bad Jobs, and the Great Recession: Lessons from Japan’s Lost Decade.pdf"
67,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",2013-14,WP 327,"Serguey,Braguinsky","Atsushi,Ohyama","Tetsuji,Okazaki","Chad,Syverson","WP 327.Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry.pdf"
68,Does Embeddedness Reduce Innovation and Differentiation? Evidence from the Japanese Microbrewery Industry,2013-14,WP 328,"Christina,Ahmadjian","Jesper,Edman",,,WP 328.Does Embeddedness Reduce Innovation and Differentiation? Evidence from the Japanese Microbrewery Industry.pdf
69,Framing From Afar: External Agents and the Construction of the Japanese Ji-Buru Industry,2013-14,WP 329,"Christina,Ahmadjian","Jesper,Edman",,,WP 329.Framing From Afar: External Agents and the Construction of the Japanese Ji-Buru Industry.pdf
70,How Much Do Official Price Indexes Tell Us About Inflation?,2013-14,WP 330,"Jessie,H",bury,"Tsutomu,Watanabe","David,E.,Weinstein",WP 330.How Much Do Official Price Indexes Tell Us About Inflation?.pdf
71,Five Years Later: Lessons from the Financial Crisis,2013-14,WP 331,"Jeffrey,Shafer",,,,WP 331.Five Years Later: Lessons from the Financial Crisis.pdf
72,Japan Post Insurance: Unjustified Favoritism,2013-14,WP 332,"Edward,Lincoln",,,,WP 332.Japan Post Insurance: Unjustified Favoritism.pdf
73,Nonlinear Pricing of Japanese Newspapers,2013-14,WP 333,"David,Flath",,,,WP 333.Nonlinear Pricing of Japanese Newspapers.pdf
74,Japanese Newspapers,2013-14,WP 334,"David,Flath",,,,WP 334.Japanese Newspapers.pdf
75,The Structure and Evolution of Buyer-Supplier Networks,2013-14,WP 335,"Takayuki,Mizuno","Wataru,Souma","Tsutomu,Watanabe",,WP 335.The Structure and Evolution of Buyer-Supplier Networks.pdf
76,Spinning Tales About Japanese Cotton Spinning: Saxonhouse (1974) Then And Now,2013-14,WP 336,"Serguey,Braguinsky","David,A.,Hounshell",,,WP 336.Spinning Tales About Japanese Cotton Spinning: Saxonhouse (1974) Then And Now.pdf
77,"Explaining the Rise of East Asian Multinationals: State-Industry Links, a Stages Model of Structural Change, and Japan as a Precedent Setter",2013-14,WP 337,"Terutomo,Ozawa",,,,"WP 337.Explaining the Rise of East Asian Multinationals: State-Industry Links, a Stages Model of Structural Change, and Japan as a Precedent Setter.pdf"
78,Abenomics: Japan's New Economic Policy Package,2013-14,OP 62,"Hugh,Patrick",,,,OP 62.Abenomics: Japan's New Economic Policy Package.pdf
79,Hagihara Industries Inc.,2013-14,OP 63,"Hugh,Patrick",,,,OP 63.Hagihara Industries Inc..pdf
80,Ryobi Holdings Company and Ryobi Group,2013-14,OP 64,"Hugh,Patrick",,,,OP 64.Ryobi Holdings Company and Ryobi Group.pdf
81,Insurance Enterprise Risk Management: Toward The Next Generation,2013-14,OP 65,"Shigeyuki,Goto",,,,OP 65.Insurance Enterprise Risk Management: Toward The Next Generation.pdf
82,Japan's Abenomics: Recovery Leading to Good Growth?,2013-14,OP 66,"Hugh,Patrick",,,,OP 66.Japan's Abenomics: Recovery Leading to Good Growth?.pdf
83,Nice To Be On the A-List,2012-13,WP 304,"Yasushi,Hamao",,,,WP 304.Nice To Be On the A-List.pdf
84,Uninsurable Risk and the Determination of Real Interest Rates: An Investigation Using UK Indexed Bonds,2012-13,WP 305,"David,Barr","Parantap,Basu","Kenji,Wada",,WP 305.Uninsurable Risk and the Determination of Real Interest Rates: An Investigation Using UK Indexed Bonds.pdf
85,"Is Japan Really a “Buy”? The Corporate Governance, Cash Holdings, and Economic Performance of Japanese Companies",2012-13,WP 306,"Kazuo,Kato","Meng,Li","Douglas,Skinner",,"WP 306.Is Japan Really a “Buy”? The Corporate Governance, Cash Holdings, and Economic Performance of Japanese Companies.pdf"
86,How Long Will Japanese Government Bond Prices Remain High?,2012-13,WP 307,"Takeo,Hoshi","Takatoshi,Ito",,,WP 307.How Long Will Japanese Government Bond Prices Remain High?.pdf
87,Policy Options for Japan's Revival,2012-13,WP 308,"Takeo,Hoshi","Anil,Kashyap",,,WP 308.Policy Options for Japan's Revival.pdf
88,Turning Japanese? Lessons from Japan’s Lost Decade to the Current Crisis,2012-13,WP 309,"Masazumi,Wakatabe",,,,WP 309.Turning Japanese? Lessons from Japan’s Lost Decade to the Current Crisis.pdf
89,How Much Do Bank Shocks Affect Investment? Evidence from Matched Bank-Firm Loan Data,2012-13,WP 310,"Mary,Amiti","David,E.,Weinstein,-,*updated,March,2013*",,,WP 310.How Much Do Bank Shocks Affect Investment? Evidence from Matched Bank-Firm Loan Data.pdf
90,Brides for Sale: Cross-Border Marriages and Female Immigration,2012-13,WP 311,"Daiji,Kawaguchi","Soohyung,Lee",,,WP 311.Brides for Sale: Cross-Border Marriages and Female Immigration.pdf
91,Japan Post Bank: Problematic Issues,2012-13,WP 312,"Edward,Lincoln",,,,WP 312.Japan Post Bank: Problematic Issues.pdf
92,Syncretism: The Politics of Japan's Financial Reforms,2012-13,WP 313,"Kenji,Kushida","Kay,Shimizu",,,WP 313.Syncretism: The Politics of Japan's Financial Reforms.pdf
93,Monetary Policy and Transmission of Bubbles,2012-13,WP 314,"Masaya,Sakuragawa","Naoki,Shinada",,,WP 314.Monetary Policy and Transmission of Bubbles.pdf
94,nan,2012-13,WP 315: Killing Two Birds With One Stone: Board Reforms in the Japanese Electronics Industry by Christina Ahmadjian and Toru Yoshikawa,,,,,WP 315: Killing Two Birds With One Stone: Board Reforms in the Japanese Electronics Industry by Christina Ahmadjian and Toru Yoshikawa.nan.pdf
95,Legal Background to the Low Profitability of Japanese Enterprises,2012-13,WP 316,"Nobuyuki,Kinoshita",,,,WP 316.Legal Background to the Low Profitability of Japanese Enterprises.pdf
96,Information and Export Decisions: Bank's Role as a Conduit of Information,2012-13,WP 317,"Tomohiko,Inui","Keiko,Ito","Daisuke,Miyakawa","Keishi,Shoji",WP 317.Information and Export Decisions: Bank's Role as a Conduit of Information.pdf
97,Samsung and LG: From Also-Rans to Dominance in Consumer Electronics,2012-13,WP 318,"Robert,Myers",,,,WP 318.Samsung and LG: From Also-Rans to Dominance in Consumer Electronics.pdf
98,The Dynamics of Multinational Corporation-Impacted Comparative Advantage: Relevancy to Ricardo's View on Cross-border Investment and Samuelson's Skepticism about Globalization,2012-13,WP 319,"Terutomo,Ozawa",,,,WP 319.The Dynamics of Multinational Corporation-Impacted Comparative Advantage: Relevancy to Ricardo's View on Cross-border Investment and Samuelson's Skepticism about Globalization.pdf
99,"The Classical Origins of Akamatsu's ""Flying-Geese"" Theory: A Note on a Missing Link to David Hume",2012-13,WP 320,"Terutomo,Ozawa",,,,"WP 320.The Classical Origins of Akamatsu's ""Flying-Geese"" Theory: A Note on a Missing Link to David Hume.pdf"
100,Built-in Stabilizers and Risk Literacy: Protecting the Sustainability of the Insurance Industry,2012-13,OP 60,"Shigeyuki,Goto",,,,OP 60.Built-in Stabilizers and Risk Literacy: Protecting the Sustainability of the Insurance Industry.pdf
